"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","8108053514.97237","12522859678.6342","19439919254.1685","10105296949.4949","9608855565.61086","13238224497.3545","15535719093.2983","18156941569.7674","20590758873.929","18847155688.6228","18122979797.9798","19452920000","22655346153.8462","22202166666.6667","24866935483.871","27184294000.5034","29418568811.1258","32234055025.2854","31618548375.3501","32478635867.374","34069217830.6878","34824471356.6085","39096763694.0298","47649633251.8337","49613348946.1358","51415660792.9515","52841410149.7504","55101749155.2375","55629781319.4959","56908044576.0056","62584110535.4059","67925445897.7408","72555189959.7365","75845565709.4239","84719578977.2493","98690272434.7262","110599840405.017","124613272943.348","138790366566.139","144592846556.493","162063337208.742","184408668144.279","207815026631.717","277650511849.492","303873962973.372","334213984192.582","365618637342.157","389459167662.235","438182167775.955","478360553749.872","454873456328.939","469502743696.193","",
"Bulgaria","BGR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","19525307692.3077","19672285714.2857","19187533333.3333","16484500000","17556333333.3333","17092578947.3684","20117823529.4118","27786846153.8462","22134941176.4706","21351666666.6667","18995909090.9091","6854283786.82258","8461805406.79491","10639341885.9172","9516553367.56936","18559500379.6281","11898890319.244","10959229231.1159","14747553565.8088","13452266602.3373","12922579411.5223","14208346103.9187","16746547984.4485","21488758770.9831","26463249590.9807","29952160205.0144","33529451338.3532","41157558937.7559","51846141511.9245","50357535978.025","49628003265.2133","55875515657.0619","53576945566.8342","54583767823.2479","56452998711.8289","49115808206.7558","52131262718.8721","57717185895.5964","63702254982.0705","66378359535.7181","67937959009.12","81005324182.552","85605828479.7612","97188912235.5466","107613044724.041","",
"Bahrain","BHR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","2864420270.62881","3440957446.80851","3634308510.6383","3746276595.74468","3793882978.7234","3281648936.17021","2655319148.93617","2995744414.89362","3271276595.74468","3503191489.3617","4451329787.23404","4807446808.51064","4783244680.85106","5006382978.7234","5325000265.95745","5790573404.25532","6076647606.38298","6113085372.34043","6021789095.74468","6350622872.34043","8839275265.95745","8654625797.87234","9068566223.40425","10581836436.1702","12575387234.0426","15556372074.4681","18119833244.6809","21431313829.7872","24787226861.7021","20538353191.4894","24432970744.6809","26150319148.9362","30955957446.8085","32627579787.234","33139813829.7872","30787393617.0213","32089202127.6596","35215186170.2128","37491914893.617","38186170212.766","33378590425.5319","38312287234.0426","44495425531.9149","43584813829.7872","43792553191.4894","",
"Bahamas, The","BHS","GNI (current US$)","NY.GNP.MKTP.CD","149547827.927652","167383830.781413","186983735.917398","209425739.508118","234905645.584903","264600042.336007","305500000","350700000","399800000","474700000","510477700","542590600","559130400","634848200","662174500","819788700","566500000","629400000","704600000","1006200100","1200800000","1274600000","1446700000","1594300000","1876000000","2140099900","2288900000","2530699900","2651000000","2930400000","2993200000","2932160000","3026400000","2963600000","3121400000","3882158500","4421275600","6179760000","6635720000","7557070000","7936270000","8118930000","8696814900","8717670000","8913970000","9654135300","9949250000","10386740000","10448200000","9829760000","9860860000","9834450000","10441100000","10177700000","10702900000","11342800000","11324900000","11901400000","11984100000","12654800000","9830600000","11325400000","13144600000","14524100000","15201100000","",
"Bosnia and Herzegovina","BIH","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6411634782.6087","5063265306.12245","3915575425.43986","3002331372.53162","1090802469.1358","1624572953.73665","2564045321.63743","3443903887.76372","4925852604.01394","5414311183.98296","6158130493.76784","6333011859.11807","7236262721.52904","9032189606.97823","10661025345.41","11690774784.1004","13256741702.7565","16247592622.2688","19819059973.2174","18292268648.6383","17455985887.834","18794204715.634","17361414390.9185","18421209992.0505","18710535630.5824","16514882573.8932","17139876107.0255","18174627410.1004","20366482557.1746","20448097231.6188","20113997798.4473","23370857023.9827","24212680562.7416","27458674123.3571","29554452622.4244","",
"Belarus","BLR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17389558232.9317","18404907975.4601","16939790093.9054","16291596444.2682","14910455864.866","13966698417.0975","14516083924.1888","14107995686.3349","15214403399.2369","12149902725.6864","12684212603.3498","12311559712.2302","14564755544.6363","17850589634.7141","23122951403.9977","30265564438.9968","36847123885.5523","44864740363.8261","59964234225.8004","49759479064.1055","56069265840.9742","61079871266.8078","64215516438.9641","72875339440.6563","76448782777.9462","54061945285.662","45473302428.7243","52669765496.9979","57861187726.0003","62499831005.415","58875118002.111","67115938432.45","70678268154.2972","70130048048.9467","74320780471.3954","",
"Belize","BLZ","GNI (current US$)","NY.GNP.MKTP.CD","27931217.9312179","29756049.7560498","31702121.7021217","33588483.5884836","36024696.024696","39900039.9000399","44240044.2400442","47224132.3601296","43439913.1201738","45719908.5601829","51599896.8002064","56823643.5028187","63063434.3222429","74111095.5947385","92347598.6994185","105915564.001761","88692274.2020054","112050000","129500000","146500000","255450000","258850000","243650000","256650000","282650000","277400000","305300000","365000000","415250000","481400000","538650912.28848","587282100","680791150","733705150","746221400","796018950","823935350","849574600","896894950","959572300","1085239000","1104995650","1176430900","1218802400","1283457850","1359872150","1465180550","1547237650","1573276350","1597367950","1610489150","1734391400","1796920450","1915955900","2000442900","2097629250","2128797100","2140779100","2129671500","2217684000","1988648500","2350676250","2712671950","2941179500","3073698950","",
"Bermuda","BMU","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6780700000","6474269000","6661617000","6764352000","6657829000","6893729000","7095783000","7435279000","7460410000","7524540000","7090446000","7601356000","8297939000","8758318000","9594840793.04017","",
"Bolivia","BOL","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","2700499750.12494","3160319840.07996","3644327836.08196","4239013233.13185","4274388254.48613","5529404567.69984","5183430013.26639","5060855674.99892","5754602586.0124","5004377305.35228","3649842315.69363","4070256337.93221","4332812302.42279","4456873579.83834","4618982620.20708","5096262338.68661","5446168777.11339","5528799392.64957","5798722891.83223","6508561764.97425","7188749149.68869","7729236782.815","8335294701.59795","8088864460.3063","8172325473.0056","7930357003.12264","7700785216.17852","7780552284.60223","8388731804.43548","9172769524.9553","11054601174.7691","12630670333.1765","16137900474.4332","16666184074.0741","18760785455.5446","22977403393.5893","25455219536.903","28751567785.8177","31298228321.2735","31873100506.5123","33320230246.0203","44817793212.7352","47438383762.6628","48220749377.7135","41896884081.042","46848792402.3155","49695381953.6903","51087205499.2764","53767324558.6107","",
"Brazil","BRA","GNI (current US$)","NY.GNP.MKTP.CD","15165569912.5199","15236854859.469","19926293839.0163","23021477292.2093","21211892259.9904","21790035117.19","25823978009.9173","29559163247.6664","33065704447.8652","36783720975.7678","41728566935.8317","48684157318.5706","58075347258.6067","78380807935.1819","104325590448.443","122016649141.279","150357935666.65","173253413561.887","196080790936.193","218945212519.056","227299903221.934","252659071917.96","267229261483.899","191446471084.389","197144720543.593","211063863687.536","256173864186.931","282955495997.371","316712779909.733","435225894864.886","380339036380.184","334931411093.569","321997047142.546","359329728432.148","505179284391.702","758586196666.96","839052100885.484","868630774082.402","845870879382.865","581160970747.041","636572488761.719","541802025604.252","492692609449.771","540518512990.096","649516039101.083","865859652973.965","1079909686695.35","1367438369100.13","1654272376257.72","1630109870571.85","2140606612730.03","2548929316371.71","2403719887646.8","2438459112454.59","2410277002770.43","1768299908716.93","1757596906197.49","2024937157803.49","1863630803587.87","1822994350926.29","1445311200183.95","1618525188671.9","1895345782501.95","2121606070844.73","2112836240407.16","",
